,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct
12124,"Experience:

* Over 20 years of experience in business analysis and project management across various domains, including Payment Technologies, Finance, B2B Sales, and IT Service Management.
* Demonstrated expertise in gathering functional and non-functional requirements, creating SRS, developing and testing processes and services, and EMV certification.
* Successfully automated payment systems, mortgage loan processes, and sale and delivery processes.
* Implemented and administered a Local payment cards system and integrated systems with customers' issue tracking systems.
* Facilitated effective communication between IT and business units for the development, implementation, and support of new systems and enhancements.
* Supported gathering of business needs and objectives to evaluate new or enhanced functionality.
* Participated in business development and Project discovery phase.
* Optimized business processes workflow, creating automated business processes from scratch.
* Developed project artifacts, including BRD, Vision, Project Profile, and Software Requirement Specification.
* Managed project teams up to 15 employees and department up to 100 employees.

Preferred Position: Business Analyst (can be partly combined with Project Management)."
12141," Team Leader of Professional Exchanges, AIESEC

* Led a team, achieving a 100% increase in LEADs within a month
* Successfully managed a marketing team
* Prepared for and excelled in university exams

Member, AIESEC

* Effectively balanced personal growth and academic responsibilities, while holding a part-time leadership role."
12143," * Conducted analysis of requirements, user cases, and data flow diagrams
* Designed system analysis and entity relationship diagrams
* Performed business analysis of the apps market and competitors, including Apple Wallet service for Android, Windows Phone
* Contributed to strategic decision-making for the development of a proprietary service and assisted in the sales process
* 5+ years of experience in e-services analysis, with a proven track record in detailed analysis and goal-setting
* Led research and development in ""E-government"", ""E-citizen"", ""E-democracy""
* Designed ""E-vote"" framework in collaboration with Bank ""PrivatBank"" and local government, facilitating G2B4C interaction among government, business, and citizens
* Experienced in CRM systems (AMO, ZOHO)
* Proficient in scientific article writing, guides, and handbooks
* Fluent in French (Advanced) and Bulgarian (reading and verbal)
* Skilled in: BABOK, PMBOK, Agile, Scrum, MantisBT, Redmine, MS Project Manager
* Proficient in DFD and ERD diagrams
* Seeking opportunities for full use of skills, interesting challenges, and career growth
* Interested in professional training opportunities offered by the company."
12149,"Experienced IT Professional with 15+ years of demonstrated expertise in leading large-scale projects in the Insurance and Investment Banking domains. Proven track record of successfully implementing complex systems in 4 reputable companies, showcasing a strong understanding of customer needs and ability to prioritize tasks. Known for effective leadership and management abilities, consistently delivering projects on time and within budget. Detail-oriented and experienced in working in fast-paced, time-sensitive environments. Possess excellent written and verbal communication skills, with a demonstrated ability to write comprehensive requirements. Strong developer background and in-depth understanding of software development life-cycle. Specialized knowledge of Insurance and Investment Banking subject areas. Seeking Managing / Product Owner / BA Lead position in software company."
12161,"The Business Analysis Laboratory's Educational Program Completed Successfully

* Demonstrated self-organization and time management abilities
* Practical experience in writing business, functional, and non-fiction requirements
* Strong written, verbal, and interpersonal communication skills
* Negotiation, presentation, and facilitation skills
* Proficient in theoretical and practical aspects of Business Analysis
* Experienced in creating BPMN diagrams and wireframes
* Proven ability to successfully complete a business analysis program."
12252,"Experience:

* Contributed to the development of over 30 web projects and several mobile applications.
* Recouped the investment of 2 projects within 3 months of launch.
* Developed a high-load big data sports analytics system and mobile apps, now operational in over 100 domains worldwide.
* Pioneered the first AR/VR E-commerce marketplace for Persian Gulf Countries.
* Gained experience in project management, business analysis, and product management roles.

Skills:

* Proficient in developing websites, web apps, mobile apps, and AR/VR apps using technologies such as Microservices Architecture, Kubernetes, PHP Symfony, API, GraphQL, PostgreSQL DB, Redis, RabbitMQ, ElasticSearch, React.js, Redux, React-Router, NPM, Webpack3, Kotlin, Swift, and Augmented & Virtual Reality (AR/VR).
* Experienced in Stock Markets, Equities, and Trading platforms.
* Knowledgeable in High-load e-commerce marketplace and e-commerce platforms.
* Skilled in Gambling, Sports Betting, and Sports Analytics.

Previous Project:

* Served as Project Manager and Business Analyst for a large-scale project.
* Managed 5 separate teams: Back-end, Front-end, Mobile app, Design, and QA, consisting of 15 developers, 2 designers, 8 QA engineers, 1 DevOps engineer, and 1 Technical Writer.

Technology Stack:

* Backend: Microservices Architecture, Kubernetes, PHP Symfony, API, GraphQL, PostgreSQL DB, Redis, RabbitMQ, ElasticSearch.
* Frontend: React.js, Redux, React-Router, NPM, Webpack3.
* Mobile app: Kotlin, Swift, Augmented & Virtual Reality (AR/VR)."
12408,"* Successfully launched a telecom project for a US state customer
* Enhanced Ecommerce solution on a new platform
* Developed and enriched Treasury management system solution for large corporates and SMEs in Currencies & Cash Management
* Collaborated in the development of new banking software, specifically the Treasury module
* Implemented financial estimation information system for CIS banks
* Over 12 years of experience in Banking and Finance, with over 5 years in business analysis and over 2 years in project management
* Skilled in project management, business analysis, financial analysis, risk-management, banking, insurance, Treasury and Cash management systems, Ecommerce, Telecom expense management
* Fluent in English and French
* Strong presentation and communication skills
* Holder of IREB Certificate for Requirements Engineering Foundation Level (2018, No 18-CPREFL-137936-20)
* Proficient in SQL, VBA, Jira, Confluence, ServiceNow, TFS, SAP Hybris, TeamWork, Ms Project
* Experienced in modeling tools: Ms Visio, Balsamiq, Draw io
* Accomplished projects with modern technologies and challenging scopes."
12409," Experienced Project Manager/Business Analyst

* Managed diverse projects and customers across various domains, including enterprise, e-commerce, finance, and crypto
* Internationally experienced with a history of successful projects and customer collaborations in Asia, Europe, UK, and US
* Advanced English skills (IELTS 6.0) and excellent communication, negotiation, and presentation abilities
* Detail-oriented with expertise in managing teams of varying sizes, from 6 to 40 people
* Proficient in Agile, SCRUM, and KANBAN methodologies, with the ability to manage sprint/release scope and create project management and requirements documentation
* Skilled in processes & functional analysis, standardizing, and optimizing PMO processes and procedures
* High level problem-solving and negotiation skills
* Currently working on a Cryptocurrency platform in the role of PM/BA
* Additional skills: Intermediate Polish and PMP Exam Prep. PMP Credential in progress."
12410,"Experienced Product Owner with a proven track record in designing the architecture of complex, real-time financial data systems.

Led a software development department of 30 professionals, contributing significantly to the mother company's revenue through developed software products (16 years of experience in finance and software development for financial markets).

Business Analyst Achievements:

* Identified, structured, and prioritized key business needs
* Developed BRD, product roadmaps, and technical documents from business requirements
* Managed product backlog and contributed to system architecture development and protocols
* Analyzed external financial market data and FIX protocol, provided data analysis

Project Management Experience:

* Oversaw collaboration with US vendors
* Improved business processes
* Participated in the hiring process."
12418,"**[Your Name]**

**Contact Information:**
[Your contact information]

**Objective:**
Experienced professional with 8+ years in IT and business process & solutions consulting. Seeking a role in Business Analysis, Product Management, Project Management, CRM, Business Process Transformation (IT, Customer Service, Fintech), or Head of Customer Care.

**Expertise:**

* IT product development & implementation (CRM systems)
* IT consulting
* E-commerce
* Marketing
* Telecom
* Automotive
* Finance
* Energy & gas
* Agriculture

**Skills:**

* Project management (SDLC)
* Interviewing to understand customer insights
* Requirements management and prioritization
* Preparation of functional and non-functional requirements, decomposition
* Business process modeling (BPMN, UML diagrams)
* Prototyping (Moqups, Miro, Balsamiq)
* CRM systems implementation (Creatio, Maxbill)
* BPM class solutions
* MS Office365
* Document management systems
* Contact centers
* Video surveillance
* AR (augmented reality)
* Management & security of printing infrastructure

**Experience:**

* Over 8 years of experience in IT and business process & solutions consulting
* Led the implementation project of the Billing&CRM Maxbill system for B2B clients, managing Sales, Retention, and Customer Care modules for 200 users within a 1300-user system
* Demonstrated professional skills with 12 years of practical experience in sales & services, including successful management of 3 regional teams totaling 45 members

**Approach:**

* Favor Agile methodologies
* Strong organizational and management skills
* Team player
* Independent decision-making and responsibility
* Ambitious and creative
* Customized motivation strategies for team members and fostering a positive work environment

**Education:**
[Your education]

**Certifications:**
[Your certifications]

**Languages:**
[Your languages]

**References:**
Available upon request."
12422,"Project Management Institute
Certified Associate in Project Management (CAPM)

Northeastern University
Master of Science in Project Management, concentrated on Project Business Analysis, GPA of 3.76/4

Academy of Public Administration
Bachelor of International Relations

PrintInk. Baku, Azerbaijan
Junior Project Coordinator
May 2023 – Present
- Coordinate and monitor project budgets of $80,000-$150,000, identifying and reporting variances
- Develop and manage project resources, including material, equipment, and personnel within a 10-15 people team
- Revise and maintain project schedules and timelines, ensuring tasks and goals are delivered within set deadlines
- Conduct quality assurance testing, assessing and checking new products against quality standards

Location Scout Training Program Development — Boston, USA
- Wrote SMART business requirements for the program plan, defining in/out-of-scope elements, assumptions, and constraints
- Prepared and prioritized project deliverables, submitting project scope, cost, and schedule baseline statements within 4 weeks
- Prepared contingency reserve policy, communication plan, risk management matrix, quality management plan, and change control policy

MBTA Transportation App Development — Boston, USA
- Developed project plan, activities, resources, budget, and schedule, assigning tasks among 11 team members
- Planned and executed risk management using qualitative and quantitative techniques, with 3 contingency plans for each risk

Globe Life Liberty National Division
Insurance Business Analyst
November 2022 - February 2023, West Covina, CA, USA
- Established productive working relationships with clients and built rapport
- Determined clients’ needs and financial situations, scheduling fact-finding appointments and presenting plans
- Ascertained clients’ long-term goals, offering more than 10 different plans and supplemental benefits"
12435,"Procurement Manager
4 years of experience

* Managed warehouse inventory and balances
* Analyzed and forecasted sales to optimize procurement
* Planned procurement, selected suppliers, and negotiated contracts
* Oversaw execution of orders, managed complaints, and returns
* Coordinated transport logistics and delivery schedules
* Negotiated pricing and terms with suppliers

Professional Development:

* Completed ""Data Analysis and Statistical Inference in R Language"" online course, Prometheus.org.ua, Certificate: <https://courses.prometheus.org.ua:18090/downloads/b2da79bd1b5449a6a2a6a0430dec98ce/Certificate.pdf>

Education:

* Master’s Degree in HR Management, Distinction, 3rd place in All-Ukrainian Olympiad in the speciality."
12436,"Project Coordinator
- Successfully delivered project for a national Canadian corporation
- Oversaw project delivery and coordinated cross-located team efforts

Business Analyst Lead
- Designed and implemented BA processes
- Facilitated communication between customer and development team
- Conducted requirement elicitation and gathering, including capability gaps assessment, elaboration phase, and requirements gathering workshops
- Managed requirements prioritization

Management
- Managed projects and teams

Human Resources
- Coached team members
- Organized and facilitated events
- Developed and conducted trainings"
12437," **Professional Experience**

• Spearheaded and played a pivotal role in 15+ projects, honing project management and business analysis skills across various domains, including methodology, design, development, and implementation of financial management systems.
• Overcame linguistic hurdles and enhanced English skills through project-related collaboration.

**Skills**

• Business analysis, project management, and financial management systems design and implementation
• Proficient English communication skills, demonstrated through successful leadership and contribution in English-speaking project environments."
12447,"Sure, here's the improved version of your resume:

1. Successfully led a UK real estate startup to MVP delivery, securing investments from Google by utilizing Agile tools to overcome initial setbacks and exceed expectations.
2. Managed feature delivery for various customers at a UK insurance startup, demonstrating adaptability, effective priority management, and consistent team performance under harsh timeframes.
3. Collaborated with business development managers to win projects during the presale stage, utilizing a passion for new ideas and upselling skills when necessary.
4. Received three positive reviews on Clutch for successfully managed projects, maintaining strong relationships with clients and delivering high-quality results.
5. Managed a DevOps production support team of over 800 environments, leading a dedicated team to improve response rates, quality, and variety of support services.

Technical Skills:

1. SaaS solutions for real estate and insurance startups from the UK
2. E-commerce platforms: Shopify, Magento 1/2, WordPress
3. Mobile development: iOS, Android (VR games, healthcare app)
4. Cloud DevOps technology support
5. AI-based solution development

Additional Experience:

* Created project specifications and Figma mockups as a Business Analyst for various projects.

Preferred Qualifications:

* Seeking opportunities in SaaS or mobile solutions development.
* Proficient in English and prefer to work with English-speaking clients."
12448," Experience:

* 5 years as a Business Analyst, 2 years as a Project Manager
* Led a team in developing an innovative project, delivering 96% of scheduled features on time over 2 years
* Designed successful interfaces for multiple projects, receiving positive customer feedback
* Relaunched a complex billing system interface for over 100k users without causing frustration or inconvenience
* Developed mockups and requirements for a major petroleum company project in Ukraine

Responsibilities:

* Develop mockups and prototypes
* Create business-perspective specifications
* Build roadmaps and issues structure with Epics, User Stories
* Manage requirement gathering, documentation, and analysis
* Create user guides and FAQs
* Manage project development life-cycle

Industry Experience:

* Online service
* E-commerce
* Manufacturing
* CRM/ERP
* Education
* Automotive

Skills:

* Requirements gathering
* Building interactive mockups
* Specifications writing
* Market and competitors analysis

Preferred Environment:

* Collaborative setting where all voices are heard

Availability:

* Open to part-time or one-time projects."
12449," * Managed multiple concurrent projects using Agile methodologies, ensuring on-time and on-budget completion
* Oversaw full life cycle delivery, leading and managing teams, fostering collaboration, and resolving conflicts
* Gathered and analyzed requirements, establishing elicitation, approval, and change processes
* Established software delivery processes, promoting team collaboration between Dev, QA, and BA teams
* Produced comprehensive project documentation, including Vision and Scope Definition and Software Requirement Specifications
* Monitored requirements implementation and solution acceptance, ensuring alignment with project goals
* Created workflow diagrams, charts, and presentations to communicate project status and progress
* Utilized Figma for writing user stories and customer journey maps, Jira for project management, Balsamiq Mockups for design, BPMN, and Use Cases

Seeking a role to leverage expertise in Agile project management, requirement gathering and analysis, and team leadership for successful project delivery."
12450," Analyst with 7+ years of IT Industry Experience

* Implementation Consultant, Business Analyst, and Project Manager roles
* Proficient in CRM, ERP, and HR core system development and implementation
* Automated recruitment process and integrated core banking systems

Professional Experience:

* Collaborated on various full life cycle projects, overseeing initiation through completion
* Negotiated with all stakeholders to ensure project success

Core Competencies:

* Demonstrated time management and organizational skills
* Strong communication and negotiation abilities."
12451," Associate Business Analyst / Project Manager (06.2021 - Present)

* Managed various projects including migration, applications upgrade, and disaster recovery tests in different phases.
* Tracked task performance, creating high-level and detailed project plans.
* Facilitated effective communication with stakeholders through update emails, meeting notes, and notifications, including top management.
* Facilitated and scheduled meetings.
* Performed collection, analysis, and documentation of project requirements, dependencies, and risks.
* Generated various reports and charts, such as updates on vulnerabilities, infrastructure project status, and test results.

Junior Software Engineer (11.2020 - 06.2021)

* Facilitated communication with international clients, ensuring clear and timely information exchange.
* Collected and documented software requirements, validating them with stakeholders.
* Resolved tickets related to relationship databases and CRM systems, utilizing problem-solving skills and technical knowledge.
* Reviewed, verified, and assigned tickets to resolver groups, ensuring proper workload distribution and prioritization.
* Tested CRM system updates, providing feedback and identifying potential issues."
12452," * Collaborated with clients to gather and clarify project requirements.
* Orchestrated project execution from initial planning to final completion.
* Drafted various documents, including commercial proposals, functional specifications, technical requirements, and business process descriptions.
* Assigned and distributed tasks to team members, ensuring alignment with project objectives.
* Monitored and ensured timely implementation of tasks, taking corrective action as needed.
* Facilitated coordination and workflow among team members, promoting a collaborative and productive work environment.
* Conducted scrum meetings and facilitated regular communication with clients, building transparency and trust.
* Managed multiple projects concurrently, meeting deadlines by prioritizing tasks and resources effectively.
* Maintained professionalism and composure in the face of complex challenges, contributing to a positive work atmosphere.
* Experienced professional growth under supportive management, enhancing skills in project management and team leadership."
12453,"Project Management & Business Analysis Professional

• Consistently met project deadlines and budget constraints, delivering high-quality results.
• Achieved customer satisfaction through timely releases and support for clients such as Oshadbank and Totis.
• Designed and implemented processes for the arbitration team, generating monthly profits of $90-160 thousand.
• Completed urgent development of landing and promotional materials for the Financial Storm 3.0 contest within two weeks, with a budget of 3,000,000 UAH.
• Generated 412 applications and calls in 22 business days for the Zhansaya sanatorium website in Kazakhstan, resulting in a 4% conversion rate and CRM system implementation.
• Current business analyst in a fintech company (crypto) for 9 months, responsible for analysis, requirements gathering, stakeholder communication, and technical specification writing and actualization.
• Over 7 years of experience as a PM and BA in traffic arbitrage and website development, managing projects from start to finish and supporting current projects in various business spheres, including fintech, health and beauty, gambling, goods, tourism, manufacture, consulting, etc.
• Strong skills in UX/UI understanding, gathering requirements, communication with stakeholders, pre-design studies, UX prototyping, creating specifications, and project documentation.
• Proficient in Agile philosophy, Scrum, and have implemented elements of Kanban and Scrum in the working process.
• Adept at managing multiple projects simultaneously, organizing work processes, team leadership, decision-making, and taking responsibility.
• Flexible and client-oriented in communication.
• Experienced with JIRA, Confluence, Trello, YouTrack, Monday, Bitrix, Redmine, Balsamik, Moqups, Draw.io, Figma, etc.
• Seeking a BA role or a position at the intersection of PM/BA. Highly motivated to work with interesting and useful products for users and grow expertise."
12454," **[Your Name]**

[your email address]
[your phone number]
[LinkedIn profile, if applicable]

Analytical professional with experience in project management, commercial intelligence, and analysis. Skilled in managing large amounts of information, identifying and implementing approaches to people, and overseeing task execution. Seeks opportunities to learn and improve language skills. Fluent in English and Ukrainian.

Employment History:

**Project Manager, ArtHome, Dnipro/Ukraine, June 2019 - January 2022**

* Managed and executed multiple projects simultaneously, ensuring timely completion and budget adherence
* Developed and maintained project schedules, budgets, and communication plans
* Conducted market research and analysis to identify commercial opportunities and trends
* Collaborated with cross-functional teams to implement project objectives and deliverables

**Commercial Intelligence Analyst, Global Pharmaceutical Company, Kyiv/Ukraine, January 2017 - May 2019**

* Collected, analyzed, and interpreted data to provide actionable insights for business decisions
* Identified and monitored competitors' activities, market trends, and industry developments
* Prepared and presented reports and presentations to senior management
* Collaborated with sales and marketing teams to develop and implement strategies

Education:

**Master of Business Administration, Kyiv National University of Trade and Economics, Kyiv/Ukraine, 2014 - 2016**

* Specialization in Project Management

**Bachelor of Economics, Kyiv National University of Trade and Economics, Kyiv/Ukraine, 2010 - 2014**

Skills:

* Project Management
* Commercial Intelligence
* Market Research and Analysis
* Data Analysis
* Strategic Planning
* Communication and Presentation
* Microsoft Office Suite (Word, Excel, PowerPoint, Outlook)
* Fluent in English and Ukrainian"
12455," Experienced Professional in FinTech and Transport & Logistics

Experience
---------

### FinTech

#### Senior Account Project Manager

* **1.5 years**

* Oversaw onboarding (integration) of new clients to the platform, including defining a launch plan, conducting demos, and consulting on API dock
* Analyzed customer needs and consulted on the sales stage
* Managed client task backlog (analysis, description, timing, control of implementation, testing, delivery)
* Conducted analysis of API documentation, compared with client needs, and tested requests on Postman
* Identified customer feature requests, translated them into business and technical requirements, and created tasks for the dev team
* Managed task management using Jira
* Described processes using BPMN and Confluence

#### Account Project Manager

* **Oct 2019 - 2 years**

* Managed onboarding (integration) of new clients to the platform, including defining a launch plan, conducting demos, and consulting on API dock
* Analyzed customer needs and consulted on the sales stage
* Oversaw management of client task backlog (analysis, description, timing, control of implementation, testing, delivery)
* Conducted analysis of API documentation, compared with client needs, and tested some requests on Postman
* Identified customer feature requests and created tasks for the dev team (identified business and technical requirements)
* Managed task management using Jira
* Described processes using BPMN and Confluence

### Transport & Logistics

#### Project Manager

* **Jun 2"
12456,"**Experience:**

* Implemented CRM and ERP systems for a logistics company, leading existing projects and initiating a new one, increasing sales.
* Resolved internal issues through IT solutions, improving overall company operations.
* Collaborated with business stakeholders to gather and understand technical problems, making key decisions regarding product features.
* Managed project teams, controlled project risks, and managed time and scope, ensuring clear communication.

**Skills:**

* Proficient in data analysis, evaluation, and planning.
* Experienced in budget planning and analysis.
* Skilled in creating user stories and prioritizing backlog.
* Collaborated with stakeholders to identify and implement solutions.
* Made key decisions regarding product features.
* Strong reporting skills, with a history of submitting reports to department heads and management.
* Managed project teams, controlled project risks, and managed time and scope.

**Values:**

* Committed to transparency in project management, budgeting, and potential issues.
* Prioritizes clear communication of project progress, challenges, and changes.
* Encourages clear tasks, ethical behavior, and a commitment to delivering value.

**Interest:**

* Open to working on projects for NGOs."
12457,"— Seasoned business analyst with 10-years of expertise, known for creating diverse scale and complexity solutions.

— Started career as a QA engineer, gaining thorough comprehension of the Software Development Life Cycle (SDLC). Proficient in quickly recognizing client needs and market demands, suggesting optimal solutions and architecture drivers.

— Skilled in performing dual roles of Business Analyst and Project Manager, handling responsibilities such as product concept development, architecture planning with technical experts, user training, and system deployment.

— Experienced Engagement Manager, preparing initial proposals and conducting comprehensive scope analyses, demonstrating versatility and adaptability.

— Leverages valuable insights from past failures, such as starting a business, to design processes and understand sales procedures.

— Eager to tackle new challenges and contribute to client success."
12458,"- Gathered detailed requirements from stakeholders through effective communication and analysis.
- Authored clear and concise user stories and use cases, ensuring a forward-facing approach.
- Developed comprehensive roadmap, user flow, and permission structure for a SaaS platform from scratch, demonstrating strong planning and organizational skills.
- Fostered a strong collaboration with the designer to enhance user experience and usability.
- Successfully managed Product and Sprint Backlogs, conducting daily, grooming, and retrospective meetings, ensuring timely completion of tasks.
- Effectively decomposed user stories into prioritized tasks, improving productivity and workflow.
- Specified precise data delivery from the data science department to the backend, ensuring accurate and efficient data transfer.
- Provided support for product documentation, maintaining up-to-date and accurate records."
12459,"Alex
Project Manager

• Managed 16 projects, leading 3-5 team members for each
• Maintained continuous communication with all clients, ensuring their needs were met and expectations exceeded
• Ellicited and documented comprehensive project requirements, including project goals, deliverables, and timelines
• Oversaw project development from initial idea through implementation, ensuring alignment with business objectives
• Analyzed gathered requirements and transformed them into feasible projects, prioritizing project scope and resources
• Conducted in-depth project planning and development, including coordinating resources and timelines, to ensure on-time and on-budget delivery."
12460," Sales Manager, Project Manager, Business Analyst

* Managed clients and teams for 4 years, promoting engagement and developing relationships
* Proficient in utilizing MockingBot and Figma for interactive prototyping and wireframing
* Experienced in BPMN with draw.io and Camunda
* Skilled in requirements elicitation and definition
* Demonstrated expertise in preparing comprehensive user stories and use cases
* Developed and validated technical documentation to support upselling initiatives

Eager to take on new challenges and master new processes in a future role."
12461," Project Implementation Specialist

• Implement projects, ensuring customer requirements are met within agreed timelines and budget.
• Analyze client requirements by eliciting, elaborating, and documenting business and functional requirements in user stories, flow diagrams, and block diagrams using Visio and wireframes.
• Collaborate with developers, engineers, and QA to discuss solution architecture, estimation, and acceptance criteria, prototype solutions, and present to clients and team.
• Manage client requirements, including new requests and change requests, in Confluence, obtaining client approvals for scope and estimations.
• Plan sprint scope in Jira, prioritize tasks, participate in sprint planning and retrospective to ensure tasks are processed according to agreed priorities and timelines.
• Follow up and report progress.
• Create use cases/test scenarios, review test results with QA, test custom solutions prior to deployment.
• Present solutions to clients and assist with UAT to ensure customer satisfaction and acceptance."
12462,"Experienced System Analyst with a history of delivering significant time savings through technical solutions. Proven ability to provide constructive challenge to top managers' proposed solutions with compelling counterarguments and alternative approaches. Skilled in optimizing technical documentation processes to minimize manual work and bureaucracy.

* Developed and proposed technical solutions, delivering up to 90% time savings compared to initial estimates.
* Challenged top managers' proposed solutions, providing successful counterarguments and alternative approaches.
* Streamlined technical documentation processes, minimizing manual work and bureaucracy.

Technical Skills:

* Proficient in writing BRD, SRS, API SPEC, and User Guides.
* Experienced in designing DB structures.
* Skilled in estimating backlog requests.
* Proficient in conducting demo meetings of completed work.
* Experienced in leading retro meetings.
* Skilled in API testing, manual testing, and automation testing.
* Proficient in writing Smoke Scope, Regression test cases, and test scenarios.
* Experienced in creating Release notes and Delivery Protocols.
* Skilled in handling team lead responsibilities in the absence of the team lead.

Experience:

* System Analyst on an application serving as a template for app creation, server management, and front-end libraries.

Responsibilities:

* Wrote BRD, SRS, API SPEC, and User Guides.
* Designed DB structures.
* Estimated Backlog Requests.
* Conducted Demo meetings of completed work.
* Led Retro meetings.
* Performed API testing, manual testing, and automation testing.
* Wrote Smoke Scope, Regression test cases, and test scenarios.
* Created Release notes and Delivery Protocols.
* Handled team lead responsibilities in the absence of the team lead."
12463,"LPNU:

* Bachelor of Arts degree
* Designed and implemented solutions for defined problems using prototyping, persona development, and use case diagrams
* Conducted analysis of company's ""as-is"" state and developed ""to-be"" state plans."
12464," **Experience**

**Efficiency Manager** *[Company Name], [City, State]*
1.5 years

* Re-engineered business processes, enhancing efficiency through scope and business rules
* Designed and implemented new ERP system functionality
* Developed a sales department routing system
* Prepared technical tasks for the development team
* Taught employees during change integration process

**Business Owner** *[Company Name], [City, State]*
5 years

* Sold products on the USA market, with production in China
* Managed online shop operations, including customer support, procurement, promotions, and logistics
* Negotiated with suppliers and contractors
* Adapted to a dynamic market environment

**Project Manager/Business Analyst** *[Company Name], [City, State]*
1 year

* Managed project lifecycle processes, adhering to methodologies
* Gathered and analyzed requirements, employing various techniques
* Coordinated development process as Scrum Master
* Monitored progress, risks, and changes using appropriate instruments
* Transformed stakeholder requirements into technical documents
* Facilitated communication among multiple stakeholders
* Established technical standards for development processes

**Additional Experience**

* Collaborated on software, business model, and procedures creation for a new delivery service
* Initiated a US product selling business"
12465,"Experienced Business Analyst/Project Manager

• Over 6 years of commercial experience in various domains including IT outsourcing, retail, healthcare, and sales and marketing
• Demonstrated expertise in project management; delivered 10+ projects on time and within budget
• Strong technical background with 5+ years of experience in ERP/CRM systems (SAP, Microsoft Dynamics, Salesforce)
• Highly motivated, disciplined professional with exceptional communication and organizational skills
• Consistently committed to achieving company goals and delivering results

• 2+ years of experience in IT outsourcing, specializing in vendor management and process optimization
• 2 years of experience in project management, leading cross-functional teams and ensuring timely delivery
• 5 years of experience in ERP/CRM systems, with a strong understanding of system architecture and integration
• 6 years of experience in retail, with a focus on inventory management and customer analytics
• 2 years of experience in healthcare, specializing in regulatory compliance and patient data management
• 2 years of experience in sales and marketing, with a proven track record in lead generation and campaign management."
12466,"Sure, here is your updated resume:

Skills:

* Strong analytical skills, with expertise in analyzing complex problems and identifying trends and patterns in data
* Project management, including experience developing ToRs and technical requirements
* Proficient in statistics and data analysis, with expertise in data verification, compilation, and interpretation
* Business processes optimization and business modeling
* Excellent communication and presentation skills
* Proficient in team collaboration and managing multiple engagements
* Negotiation and conflict resolution
* Learning and teaching
* Proficient in PC use, advanced in Excel and PowerPoint
* Fluent in English and Russian; basic German

Experience:

* Developed ToRs and technical requirements for projects and e-procurement systems
* Implemented data processing solutions and verified data for accuracy
* Compiled and analyzed data, identifying trends and patterns
* Developed specifications for construction and equipment
* Conducted researches and analytics, creating analytical reports and performing functional and effectiveness analysis
* Designed and optimized business processes and analyzed best practices and international experience of central purchasing bodies
* Developed proposals on the strategy of the CPB in Ukraine
* Analyzed public procurement procedures in Ukraine using QlikView & QlikSense BI tools
* Monitored e-procurement system, ProZorro (product of IT company) for compliance, reporting, researches, and investigations
* Gathered and processed catalogues and information for e-procurement system according to Open Contracting Data Standard
* Communicated with BI users, procurers, suppliers, controllers, and other clients to provide support and gather requirements
* Participated in public events, conferences, and lectures as a speaker, BI expert, and participant
* Supported the development of e-procurement risk indicators system
* Conducted reporting and trend analysis of public procurement procedures for government institutions."
12467,"SRS (Use Cases, UML)
Backlog (User Stories, Acceptance Criteria)
UX
Agile Certified Professional (IC Agile), Scrum

Technical (Basic Level): MySQL, HTML, CSS

Previous experience as a Marketing Analyst and Marketing Coordinator in FMCG, with a client-oriented approach and understanding of business needs.

Currently acting as both a Business Analyst and partially fulfilling Project Manager responsibilities, including:

* Pre-sales process involvement
* Delivery management

Seeking a company with interesting projects and a fast-changing environment."
12468," Business Analyst & Project Manager
Three years of experience in healthcare domain

• Proficient in Business Intelligence tools with a quick understanding of technical project details
• Drove projects towards goal attainment, providing team support throughout execution stages
• Fostered positive and productive team environments, facilitating effective conflict resolution

Training Experience:
• Expert in developing and delivering soft skills training, creating a safe and energized learning atmosphere"
12469," Translating and proofreading English to [your language] and vice versa for esteemed healthcare and pharmacy clients, including:

* Novo Nordisk
* Bayer
* Parexel
* EURORDIS

Experience in teaching English to students via Zoom platform, utilizing a variety of online resources and Google tools. Developed individualized educational plans, assessment, and evaluation."
12470," Experience:

* Proven track record in startups and product development, including:
	+ Validating product ideas through rigorous research and analysis
	+ Conducting user research to inform product strategy
	+ Setting and executing product strategy to drive growth
* Experienced manager of design teams, with a focus on collaboration and innovation

Skills:

* Expert in multi-platform product development, with a deep understanding of user experience and design principles
* Committed to continuously enhancing business analysis skills through training and practical application

Career Goal:

* Seeking a challenging role in a company that values product innovation, growth, and integrity."
