id,GPT4o
50,"Web Development and Administration- Collaborated with a team of developers in the creation of an online law consulting website.- Contributed to the design aspects of the website.- Assisted in the development of the website's logical structure and performance.- Managed the client database for the online resource.- Administered and organized cases processed on the website.Pro Bono Lab Manager | Ukrainian Access to Justice School of Practice- Managed the Pro Bono Lab platform, including gathering requests from NGOs and matching them with pro bono legal support.- Coordinated with law and audit businesses to provide socially responsible legal services.Course Development for Social Initiatives and NGOs- Researched relevant and engaging topics for social initiatives, in collaboration with law and audit experts.- Recruited experts from law and audit firms to contribute to the course.- Developed the structure and modules of the course.- Created test cases to assess participants' understanding.- Participated in the filming process of the course material.- Administered the first cohort of 30 students through the learning course.- Converted the course materials into SCORM packages for integration into a Learning Management System."
51,"        --- Professional Summary:Dynamic and experienced IT leader with 8 years of experience creating and managing an IT company. Proven ability to lead and manage teams, with skills in agile methodologies, project management, and technical problem-solving. Enthusiastic about building and motivating successful teams, creating goals and plans, and fostering continuous improvement.--- Professional Experience:Founder and CEO     -   - Led and managed the company for 8 years, overseeing up to 15 employees.- Supervised up to 3 teams and managed up to 3 managers.- Currently managing 1 manager and 5 full-time developers, working on one primary product project.- Practiced and implemented Scrum and other agile methodologies.- Utilized task tracking systems including Asana, Trello, and GitHub for efficient workflow management.- Employed version control systems such as Git.- Experience with WebGL and JavaScript libraries including Three.js and Babylon.js.- 3 years of experience with PHP.- Conducted project time and cost estimations based on extensive experience.- Assisted the team in finding technical solutions to complex problems.- Led Scrum meetings and trained others to become Scrum Masters.--- Skills:- Leadership and team management- Agile methodologies (Scrum)- Project planning and goal setting- Project time and cost estimation- Problem-solving in technical workflows- Task tracking systems (Asana, Trello, GitHub)- Version control systems (Git)- Basic experience with WebGL, Three.js, Babylon.js- Moderate experience with React.js and Vue.js- 3 years of PHP experience--- Education:--- Professional Development:- Ongoing learning and practice in Agile methodologies and Scrum.- Continuous improvement and reconciliation sessions to enhance team performance.--- Objective:Eager to transition into new opportunities where I can leverage my experience in team building, project management, and agile methodologies to create and lead successful and motivated teams, driving continuous improvement and outstanding performance."
52,"  |  |  | --- Professional SummaryExperienced in managing people in various non-commercial projects, demonstrating exceptional communicational and management skills. Proven ability to handle sensitive matters and resolve conflicts effectively. Strong background in numerical modeling with a focus on theoretical physics and nanoscience. Transitioning from a science-focused career to pursue a passion for IT and people management.--- EducationMSc in Nanoscience  , FinlandMSc in Theoretical Physics  BSc in Theoretical Physics  --- Key Skills- Project Management: Waterfall, Agile/Scrum, basics of PM (PERT, GANTT, CPM)- Technical Skills: Linux, bash, Python (scientific purposes), Lua, Git, MS Office, MS Project- Programming Experience: C++, MySQL, PHP, HTML, CSS, Delphi- Languages: Fluent in English, basic Finnish and French, ~B1 level German- Soft Skills: Strong communicational and management skills, conflict resolution--- Professional Experience Scientific Project Manager- Managed a large scientific project, overseeing a team of students and researchers- Ensured effective communication and collaboration within the team- Resolved conflicts and handled sensitive matters with discretion Various Leadership Roles in Non-Commercial Projects- Led multiple teams in school, university, and hobby-related projects- Demonstrated strong management and organizational skills- Effectively managed team dynamics and facilitated problem-solving--- ObjectiveSeeking a role in IT project management where I can leverage my extensive experience in managing people, strong communication skills, and technical background to solve complex problems and deliver intellectual work.--- Additional Information- Striving for professional growth, adequate management, and a friendly work environment- Passionate about tackling complex problems and finding elegant solutions- Committed to transitioning from science to IT and people management---   |   "
53,"Result-focused Legal and Project Management Professional  Highly motivated, responsible, and self-organized individual with a proven track record in building effective, long-term trust-based relationships with clients. Possesses a logical and analytical mindset with the ability to structure and summarize large amounts of information. With 5 years of legal practice experience, strong communication, prioritization, and problem-solving skills, I am eager to leverage these abilities to enhance project management with strategic thinking, flexibility, and coordination.PROJECT MANAGEMENT EXPERIENCE:Project A  Problem: Develop a solution for an outsourcing IT company to measure and trade against the client's and development team's satisfaction KPIs in a timely manner.  Solution: Designed a project health check dashboard based on the satisfaction score of key stakeholders.  - Determined the scope of the project.  - Devised “12 click flow” for project health check.  - Designed a project health check dashboard based on the satisfaction score of key stakeholders.  - Managed tasks of a team of 4 students.  - Performed Product Owner role.  Project B  Problem: Organize the development of special issues and migration from Tilda for the top 3 news agencies.  Solution: Arranged migration to a Ukrainian web constructor and developed the special issues flow.  - Developed surveys for stakeholders to identify the top 5 must-have features in a new web constructor.  - Performed analysis of 30+ web constructors.  - Integrated best practices into the special issues design process flow.  - Reduced the time of special issues design process by 10% with the new flow.  - Managed tasks of a team of 5 students.WORK EXPERIENCE:AAL «LF “Pragnum”  2019-Present  - Managed high-profile cases with multiple-level stakeholders.  - Oversaw 7+ cases simultaneously.  - Defended a client on a tax evasion case totaling 10 million UAH, which was closed due to lack of corpus delicti.  - Successfully represented a group of companies in a 2,000,000 USD dispute against the Deposit Guarantee Fund.  AAL “PRAVOTA”  April 2016 – January 2019  - Efficiently represented the first client in Ukraine in a wealth tax (transport tax) dispute, saving the client 5,000 USD.  - Overruled a 10,000 CHF doping fine in a dispute against the National Wrestling Association."
54,"          --- Professional Summary  Seasoned professional with a diverse background in quality management, alternative medicine, human resources, business creation, and marketing. Adept at ensuring compliance with industry standards, developing innovative strategies, and executing successful campaigns. Strong organizational skills and a keen eye for detail, committed to delivering excellence in every role.--- Experience  Quality Manager | Aviation Club  - Revamped and rewrote operational manuals from scratch, ensuring compliance with industry standards.  - Introduced streamlined processes that improved safety measures and enhanced operational efficiency.  - Developed quality control processes and conducted inspections and audits to maintain high standards.  Project Leader | Alternative Medicine  - Spearheaded a groundbreaking project offering unique and innovative treatments.  - Focused on holistic wellness solutions, contributing to the field of alternative medicine.  Organizer | Ukrainian Cuisine Workshops, Germany  - Organized three successful master classes demonstrating the richness of Ukrainian culinary traditions.  - Fostered cultural understanding and recognition, responding to attendees' overwhelmingly positive feedback.  Human Resources and Business Creation Specialist  - Crafted comprehensive business plans and managed the acquisition of licenses and permits.  - Found ideal locations, created enticing branding, and developed successful marketing strategies.  - Navigated the complexities of setting up a business from scratch with strategic thinking and attention to detail.  Assistant | Marketing Company  - Conducted in-depth market research and analyzed consumer behavior.  - Implemented dynamic marketing strategies across digital platforms and physical events.  - Managed databases for seamless customer relationship management and lead generation.  --- Skills  - Quality Management  - Compliance and Safety Standards  - Process Development and Streamlining  - Alternative Medicine and Holistic Wellness  - Event Organization and Cultural Promotion  - Human Resources and Business Planning  - Market Research and Consumer Analysis  - Marketing Strategies and Campaign Execution  - Database Management and CRM  --- Personal Attributes  - Adaptable and Resourceful  - Detail-Oriented and Organized  - Strategic Thinker and Problem Solver  - Strong Interpersonal and Communication Skills  - Committed to Excellence  --- Education  ---  "
55,"Customer Excellence ConsultantProfessional Experience:International Environment (Embassy)Responsibilities:- Negotiated, created, and implemented successful sales strategies.- Managed exams registration and built strong relationships between teams.- Engaged in fruitful communication with clients to enhance customer experience.- Developed skills in translating and proofreading.- Created and edited advertising materials for the company’s website.- Developed and implemented a Facebook chat-bot project, in collaboration with the Marketing team. This project significantly improved the customer journey by reducing the number of typical requests handled by a person.Objective:Seeking to join a friendly and creative team to obtain and develop skills in Project Management. Eager to learn new tactics and tools to build a strong and proactive liaison with clients, contributing to the company's growth."
56,"          --- Informal Education Courses & Certifications- Digital Law (BCA Company)- The Project Management Course: Beginner to PROject Manager (Udemy)- Agile Fundamentals: Including Scrum and Kanban – 2022 (Udemy)- Business Fundamentals: Corporate Strategy (Udemy)- Business Fundamentals: Marketing Strategy (Udemy)- Basics of Team and Project Management in IT (Prometheus)- Basics of Project Management (Prometheus)- IT Product from Scratch: Where to Start and How to Develop? (Prometheus)- Modern Leadership: The Art of Breaking the Rules (Prometheus)- HR Career: Roles, Competencies and Challenges (Prometheus)In Progress:- Professional Certificate ""Google Project Management"" (Coursera)--- Professional ExperienceDean's Office Manager  Faculty of Cybersecurity and Informational Technologies  - Managed documentation and personal data.- Created various types of documentation (agreements, NDAs, financial documents).- Communicated with stakeholders and negotiated with partners.- Handled HR management tasks.- Planned and organized events.- Organized workflow to ensure efficiency.- Managed multiple projects and met deadlines.IT Law Teacher  IT Academy ""STEP""  Lawyer  IT Company HOSTING.UA  - Managed HR-related tasks.- Handled personal data management.- Provided legal consulting.- Specialized in personal data law and intellectual property law.- Prepared various legal documents.--- Skills- Project Management- Documentation and Compliance- HR Management- Event Planning and Organization- Legal Consulting- Stakeholder Communication- Team Leadership- Workflow Organization---References available upon request."
57,"Key Achievements- Successfully connected 9 new customers within a year, including major HoReCa and retail chains.- Spearheaded custom projects for prominent companies such as the ATB group, ""Puzata Khata"" restaurant chain, and ""Mafia"".- Conceptualized and launched the ""Daily Pizza"" departments from scratch, resulting in the opening of 6 new locations.- Developed and implemented KPIs for employees of ""Daily Pizza"" and retail staff, enhancing productivity and performance.- Optimized and centralized assortment selection to improve inventory management.- Created and executed the ""Value Proposition"" for the ""Culinary"" direction, driving strategic growth.- Developed comprehensive planograms from the ground up.- Achieved a 28% increase in LFL category maintenance, showcasing strong category management skills.Professional ExperienceCommercial Procurement in FMCG Sector  Held various positions ranging from Assistant Procurement Manager to Category Manager. Responsibilities included category management and the execution of numerous projects.Key Account Manager  Responsibilities included identifying and connecting with new customers, as well as supporting developments for B2B clients.Career ObjectiveAspire to transition the experience gained in the FMCG sector to the digital domain and fully leverage managerial potential for impactful leadership."
58,"       --- Professional SummaryExperienced professional with a background in collaborative project work, strategic planning, and market analysis. I possess strong skills in gathering and setting technical requirements, and I am passionate about developing in the direction of management. Eager to contribute to a company's success while growing as a project manager or business analyst.--- Professional Experience Revenue Manager- Held responsibility for managing revenue streams and optimizing profitability.- Engaged in strategic planning of project development in various foreign markets.- Worked closely with teams to analyze web3 market projects.- Gathered and set technical requirements for project implementation. Project Team Member- Collaborated effectively with team members on a variety of projects.- Conducted in-depth research and analysis of web3 market trends.- Collected and defined requirements for technical teams to facilitate project progress.--- Career Objectives- Aspiring to advance in management roles such as Project Manager or Business Analyst.- Motivated to learn relevant tools and techniques to excel in these positions.- Aim to make a significant impact on the company's welfare and professional standing.--- Skills and Interests- Effective communication and process setup- Strategic and market planning- Requirement gathering and analysis- Interest in creating projects with global impacts--- Goals- Contribute directly to the betterment of the company.- Establish myself as a professional in management.- Engage in roles that involve communication, process setup, and innovation.---  "
59,"          --- ObjectiveAspiring Project Manager seeking an intern, trainee, or junior position to leverage proven sales management experience and newly acquired project management skills.--- EducationProject Management, Hillel  _April 2019 - June 2019_  - Graduated with honors- Acquired comprehensive knowledge in software development methodologies, stakeholder management, risk management, requirements gathering, estimation techniques, project artifacts, resource and budget management, backlog management, and PM tools (Trello, Jira).IT Sales Manager, Look At Pro  _January 2018 - March 2018_English, LinguaCats  _April 2019 - Present_--- Work ExperienceFirst-line Support OperatorKyivstar  _November 2018 - February 2019_  - Managed existing customer inquiries across the entire spectrum of PrePaid services.- Consistently over-fulfilled completed inquiries for six consecutive months.Sales ManagerAgribusiness  _September 2013 - June 2017_  - Sold grain batches and managed land/agricultural machinery rentals.Sales ManagerPolygon Ltd. (Kyivstar main contractor)  _January 2013 - July 2013_  - Conducted cold calling to generate sales leads and close deals.SalesTelekomstroy Ltd.  _October 2012 - December 2012_  - Executed cold calling strategies to meet sales targets.--- Key Skills- Sales Management- Customer Service- Cold Calling- Project Management- Stakeholder Management- Risk Management- Requirements Gathering- Estimation Techniques- Resource & Budget Management- Backlog Management- PM Tools: Trello, Jira- English Proficiency--- Additional InformationSeeking to leverage extensive sales management experience and newly acquired project management skills in a new career as a Project Manager. Open to intern, trainee, or junior positions to gain hands-on experience and contribute to organizational success.    ---"
60,"--- Professional SummarySelf-motivated artist with over 5 years of experience in the game industry. Possesses strong skills in both 2D and 3D design, UI/UX design, and various design tools. Eager to work on interesting projects, share experiences, and acquire new skills within a friendly team environment. Skills- Adobe Photoshop, Adobe Illustrator- UI/UX Design- Figma, Zeplin, Sketch, MarvelApp, Invision- Pixel and vector graphics- 2D Design- 3D Max- Versatile design styles- Hand drawing- Design of banners, layouts, logos, frameworks, and prototypes for websites and mobile applications- Game testing- PowerPoint presentation creation- Portfolio available- Bug tracking and project management tools: Trello and Jira Experience- Over 5 years of experience in a game company, contributing to various projects ObjectivesEager to work at a company with a friendly team, engaging projects, and a decent wage. Driven to turning creative visions into reality while enjoying the collaborative journey."
61,"       --- Professional SummarySelf-motivated artist with over 5 years of experience in the game industry. Possesses a wide range of skills including UI/UX design, 2D and 3D graphics, and project management tools. Seeking to work on interesting projects to expand my knowledge and skills, and to share my experience. Looking for a company with a friendly team, engaging projects, and a decent wage. Skills- Proficient in Adobe Photoshop, Adobe Illustrator, and graphic tablet usage- UI/UX design- Expertise with Figma, Zeplin, Sketch, MarvelApp, and Invision- Strong understanding of both pixel and vector graphics- 2D Design- 3D Max- Versatile in working with different styles- Hand-drawing abilities- Design creation for banners, layouts, logos, frameworks, and prototypes for websites and mobile applications- Game testing- Proficient in creating presentations in PowerPoint- Bug tracking and project management tools: Trello and Jira Experience  ,   - Worked collaboratively on various projects in the game industry- Designed visual elements including banners, logos, and layouts- Created prototypes for websites and mobile applications- Conducted game testing to ensure high quality- Leveraged project management tools like Trello and Jira for effective workflow management- Developed PowerPoint presentations to communicate design concepts Portfolio-  Education  ,   ---My goal is to put into practice somebody's dreams while working with pleasure."
62,"  |  |  |  |  |  Professional SummaryDedicated UI/UX Designer with extensive experience in web design, wireframing, visual design, user research, and responsive design. Proven ability to develop user-friendly interfaces and improve user experiences. Adept at collaborating with clients and users to create impactful projects that meet their needs and expectations. Experience Web DesignerChildren's Music School Website Redesign- Conducted thorough analysis of the existing website to identify strengths and weaknesses.- Created detailed wireframe for a new landing page, including a news block and prominent call to action.- Ensured color scheme and typography were consistent with the school's brand identity.- Developed visual design with a focus on user experience and easy navigation.- Incorporated responsive design principles to ensure compatibility across various devices. UX/UI DesignerPet-Saver-Hub- Focused on creating a user-friendly interface for rescuing lost and found animals.- Conducted user research to identify key pain points in finding lost or found pets.- Developed detailed user flow and wireframe for an intuitive and easy-to-navigate interface.- Incorporated interactive elements like a map feature to assist users in locating lost or found pets in their area. Skills- UI/UX Design- Wireframing- Visual Design- User Research- Responsive Design- User Flow Development- Interactive Elements Professional Goals- Seek opportunities to enhance UI/UX design skills while contributing to meaningful projects.- Collaborate with professionals for growth and learning.- Engage in challenging projects that foster creative development and adherence to the latest design technologies and trends.- Prioritize communication and teamwork for effective work and achieving results.- Actively interact with users to collect feedback and improve user experience. Attributes- Creativity and attention to detail- Strong communication and teamwork skills- Commitment to high-quality work standards Education Contact"
63,"Head of Design Department  Facility, Kiev  March 2018 - Present  - Organized design team processes and optimized design flow for various project types- Developed concepts for websites, brands, and other products- Created UI/UX designs, animations, logo books, brand guidelines, and brand books- Led tenders and offline company activities- Published content on medium.com, mmr.ua, cases.media, vc.ru- Judged on CSSDA and Ukraine Creative Week; currently finalizing judge role with Awwwards- Delivered educational lectures at Underhub co-workingDesigner  Kiev Smart City, Kiev  - Worked on the concept and final product visualization for Kiev Smart Card- Developed dynamic city ads conceptsIllustrator and Limited Edition Product Designer  Mastercard, Kiev  - Created illustrations and limited edition products for 2018 UEFA Champions League Final in Kiev- Developed concepts for brand activation program for Ukraine Independence Day 2018Game Artist  “Stampede Games”, Kiev  - Worked on mobile games, developing visual concepts and UI- Created concept art for the sequel of a game- Contributed to games that were featured and reached top charts, including:  - Evo Explores  - .projektKey Achievements:- Developed over 50 websites- Designed more than 30 logotypes- Created 4 mobile apps- Designed 3 games- Built 1 social networkLanguages:   Skills: UI/UX Design, Animation, Concept Development, Brand Guidelines, Publications, Lecturing"
64,"            --- SummaryI am a dedicated and experienced designer with over 12 years in the field. I have a passion for creating user-centric designs that enhance user experiences and evoke delight. With a diverse portfolio of over 300 projects including mobile applications, websites, and corporate branding, I strive for perfection in every pixel. My goal is to elevate design to new heights and make it an integral part of everyday learning.--- Professional ExperienceNDA  _UI/UX Designer_  2022Bank BVR  _UX Designer_  2021Hillel IT School  _UI/UX Design Teacher_  2020Innovation Box  _Lead Product Designer_  2020Ardas  _UI/UX & Brand Designer_  2019M2E pro  _UI/UX & Brand Designer_  2017Forforce  _UI/UX & Brand Designer_  2016Art. Lebedev Studio  _UI/UX & Brand Designer_  2015Own Design Studio  _CEO & Designer_  2014  - Managed a team of 20 employees  - Established processes for sales, management, hiring, and project creation Poster  _UI/UX & Brand Designer_  2013le Weekend  _UI/UX & Brand Designer_  2012November Design Bureau  _UI/UX & Brand Designer_  2011--- Freelance & Early CareerFreelance Graphic Designer  2006Make Cartoons in Paint  2002Drawing School  1999--- EducationMaster's Degree in Engineering Design  Currently Pursuing MBA  Frontend and Backend Development Courses  - HTML5/CSS3/TypeScript/Vue.js- Python- Swift--- Skills- UI/UX Design- Brand Design- Product Design- Team Management- Client Relations- Sales Processes- HTML5/CSS3- TypeScript/Vue.js- Python- Swift--- Additional Experience- Created and managed own design studio  - Taught over 150 students in UI/UX and brand design  - Speaker at Dribble conferences  --- Industries Worked With- eCommerce- Finance- Banking- Investments- Marketing- Social Media- Law- Education- Development- NFT- Art- Automotive- Construction- Agriculture- Food & Beverage- Coffee- Fashion- Beauty- Service Industries- Music- Dance- MMA- Medicine- Space- Sports- Technology- Weapons- Insurance--- International Work Experience- USA- United Kingdom- Germany- Netherlands- Italy- France- Greece- Estonia- Australia- China- Ukraine--- Personal StatementDesign is my life. I enjoy every pixel I create and every moment of user delight. My dream is to see design taught in schools. If you need someone to dissect your project, identify weak points, and elevate it to perfection, I'm your person. Although much of my best work is protected under NDA, I am willing to showcase relevant examples during an interview."
65,"            --- PROFESSIONAL SUMMARY6+ years of experience as a detail-oriented and innovative Digital Designer, specializing in creating user-friendly solutions that resonate with audiences. Proven ability to conceptualize and deliver WOW websites with strong visual storytelling, elevating user experience and driving client satisfaction. Demonstrated success in building and managing skilled UI design teams, ensuring high accuracy in design implementation. SKILLS- Strong understanding of user experience- Cross-functional experience working with developers- Exceptional problem-solving skills- Deep attention to detail and meticulous dedication to proper delivery- Collaborative mindset with a strong interest in working with brand and marketing teams to scale products TOOLS- Adobe (Photoshop, Illustrator, InVision, After Effects)- Sketch- Maxon C4D- Figma EXPERIENCEArt Director, UI Senior Designer | Freelance  February 2019 - PresentUI Team Lead, UI Senior Designer | Intetics Inc.  June 2018 - January 2019  - Led and managed a UI team- Oversaw all web design projects from start to finish, providing feedback and guidance to UX and UI designers- Worked with developers and QA to implement designs with a high level of accuracy- Designed and created wireframes, workflows, prototypes, sketches, and high-fidelity mockups- Executed design work with a high level of polish, creating assets appropriately sized for desktop, tablet, and mobile screens- Presented and defended designs and key milestones to peers and executive-level stakeholders- Established and promoted design guidelines, best practices, and standardsArt Director, UI Senior Designer | Vintage Web Production  February 2015 - May 2018  - Developed and executed concepts that created the “WOW” emotion- Provided initial designs, refined directions, and worked with developers through final delivery of projects- Mentored, motivated, and art-directed the team- Built presentations, crafted documentation, and delivered asset kits to developers and other team members- Presented creative ideas and concepts to clients clearly and compellingly- Translated business strategy into creative execution to drive resultsUI Web Designer | Indigo Web Development  October 2014 - February 2015  - Executed concepts and built presentations- Crafted documentation for projects- Assisted in the design of long-term services and e-commerce projects- Contributed to product design initiatives"
66,"  |  |  |  |  | --- PROFESSIONAL SUMMARYDynamic and creative Graphic Designer with extensive experience in key visuals, social media marketing (SMM), and print materials. Proven track record in logo and identity design for new brands. Strong leadership skills in managing junior designers and introducing innovative visual styles across various platforms. Proficient in Adobe Photoshop, Illustrator, InDesign, Figma, with additional skills in Blender and After Effects. Completed a UI/UX course at Beetroot Academy, enhancing user-centered design capabilities.--- PROFESSIONAL EXPERIENCEQA Madness  Graphic Designer & UI/UX Designer  Nov 2022 - Present  - Played a significant role in the company's global redesign, impacting the final outcome.- Redesigned the website to align with the new vision and style.- Introduced and implemented a fresh visual style for presentations.- Revamped all SMM materials for LinkedIn and Instagram, and created a page for DOU.- Key Achievement: Integrated self-made 3D elements into designs.Kronas  Graphic Designer  Aug 2020 - Feb 2022  - Designed logos, identities, and related print materials for new brands within the company.- Created 3-6 advertising key visuals monthly for the website, social networks, and print.- Introduced a new visual style for the Instagram profile.- Designed multi-page catalogs and brochures in InDesign.- Updated the company's YouTube channel design, including video covers.- Key Achievements:   - Developed and illustrated a sticker pack for Telegram and Viber.  - Designed a new trade hall, including branding strategies for stands and navigation systems.Design Studio ToTop  Graphic Designer  Oct 2019 - Aug 2020  - Designed for various companies across different industries.- Created logos and brand identities.- Developed outdoor advertising materials (billboards, city lights, car branding).- Produced realistic product visualizations in Photoshop.- Created a wide range of print materials (calendars, business cards, postcards, stickers, etc.).- Designed multi-page catalogs and brochures.- Key Achievement: Designed, approved, and produced a 16-page brochure in one working day.--- EDUCATIONUI/UX Course  Beetroot Academy  - Focused on user-centered design and user experience.--- SKILLS- Software: Adobe Photoshop, Illustrator, InDesign, Figma- 3D and Animation: Blender, After Effects- Design: Logo and identity design, Key visuals, SMM materials, Print materials- Leadership: Team management, Project coordination"
67," Mase ProfileSelf-taught designer with over 9 years of experience in various aspects of design including logos, branding, interfaces, and more. Featured in Behance, LogoLounge Trends Report 2021, LogoLounge Book 12, and World Logo & Mark Book (Japan 2020). Winner of over 50 logo contests between 2015-2018. Experience- Freelance Designer with diverse clients and projects globally.- 3+ years of experience working in teams and agencies. ObjectivesSeeking opportunities to work with a team to create innovative products and solutions. Interested in expanding knowledge in UI/UX and neural network development. Recent Projects- 3D Logo Animation & Branding for Bless-Ukraine - (http://www.Bless-Ukraine.com)- Logo & Branding for Social Music Platform - hook - Created with Creative.Geex-Arts agency, view full case on Behance- Logo for Crypto-based Fund - (http://www.Ignaz.com)- Logo & Branding for Music Production Studio - (http://AnemoNoise.com)- Logo & Branding for Crypto-Based Game (NDA for now) - Coming soon Skills- Logo & Branding- Brandbooks & Guidelines- UI/UX Adaptive Web & Mobile Design- HTML/CSS/JavaScript- Typography & Fonts- Visual Design & Presentations- 3D Modeling & Animation- Illustrations, Icons & More- Gaming Software Proficiency- Adobe Suite: Illustrator, Photoshop, After Effects, Lightroom- Figma- Blender- Keynote- Webflow- Readymag- Spline- Notion- GPT-3"
68,"---Summary:Experienced Lead UX/UI Designer with over 4 years in the field, adept at analyzing problems and generating innovative ideas. Skilled in process structuring and documentation creation. Proven ability to work effectively in a team while also bringing a unique perspective to each project. Committed to continuously improving by regularly incorporating new knowledge into the workflow. Utilizes creativity as a primary tool.---Design Experience:- Landing page design- Design of native and cross-platform applications- Complex CRM systems and CMS interfaces- Casual game interfaces- Marketing materials (creative for social media, presentations, social media branding)- Branding and logos- Illustration---Management and Leadership Experience:- Built a team of designers from scratch and provided additional training for trainees and juniors- Always open to mentoring and explaining things to clients- Maintained active communication throughout and after projects- Highly structured and wrote everything from A to Z in the company's processes- Willing to change processes for the better- Finds it difficult to sit still and not have the opportunity to implement ideas- Actively involved in the company's life- Finds an individual approach to the team as a manager- Interested in the development of the team and each designer individually- Conducts feedback sessions every three months- Created a development matrix- Training and mentorship- Problem-solving- Supporting the mental well-being of the team---Passions:Passionate about creating products that are beneficial to users and avoiding involvement with services that have negative impacts or can cause mental or financial problems to end-users.---Additional Skills:- Actively develops own ideas and has a few pet projects"
69,"Professional Website, Mobile, and Graphic Designer with 6+ Years of ExperienceSUMMARYA skilled designer with over six years of commercial experience in various agencies, specializing in website designs, brand, and advertising projects. Extensive expertise in UX prototyping, UI design, and motion design for both desktop and mobile applications. Passionate about contributing artistic taste to contemporary design and seeking to join a strong team to further develop skills and realize potential on engaging projects.EXPERIENCE- Participated in the creation of over 100 website designs, brand, and advertising projects.SKILLS- Graphic Design: Printed Products, Banners, Illustrations, Icons- Web Design: Responsive, Adaptive- Mobile Design: iOS, Android- Wireframes and Interactive Prototypes- Principles of Atomic Design- User Personas and User Flows- Basic Understanding: HTML, CSSTOOLS- Figma: Team Libraries, Auto Layout, Components Properties, Branches- Adobe Photoshop: Advanced Proficiency- Adobe Illustrator: Advanced Proficiency- Adobe After Effects: Confident Level"
70,"Career Objective:To join an IT company that offers a challenging and stimulating environment to realize my excellent management and communication skills, as well as effective sales abilities.Professional Summary:Enthusiastic and results-driven project manager with over 9 years of experience in leading international conferences and building strong customer relationships. Proficient in negotiation, communication, sales, planning, and time management. Adept at team management, conflict resolution, and analytical problem-solving. A fast learner committed to continuous improvement in the IT domain.Key Skills:- Excellent negotiation and communication skills- Strong sales, planning, and time management abilities- Organizational and team management expertise- Customer relationship management- Analytical thinking and problem solving- Quick adaptability and proactive learningCertifications:- ""IT Project Management""- ""Technical Skills for PMs & BAs""Professional Experience:- Demonstrated high-performance in negotiations with top-level representatives of international companies- Over 9 years of experience in project management, organizing, and executing international conferences- Successfully managed a team of up to 10 people, with experience in goal setting, motivation and coaching, conflict resolution, hiring, employee retention, and conducting one-to-one meetings- Effective in sales, brand promotion, and customer acquisition- Proven ability to switch professional domains and effectively apply relevant experience and expertisePersonal Attributes:Fast-learner, goal-oriented, dedicated, and efficient. Passionate about acquiring new skills and achieving professional growth in the IT sector. Eager to contribute to the development and prosperity of a forward-thinking company. Interested in joining a highly motivated and open-minded team with ambitious aspirations."
71,"          ---Professional Summary  Detail-oriented HR professional and project management enthusiast with 2 years of experience in both product and IT consulting companies. Proficient in process improvement, organizational skills, and technical documentation. Seeking to leverage acquired skills in a dynamic company where my contributions will prove valuable.  ---Professional ExperienceHR Assistant     – - Gained extensive knowledge of the IT business and developed key skills in organization, time management, and resource management.- Managed talents and resources effectively, enhancing overall team productivity.- Displayed leadership through the administration of Jira, Google, and Slack accounts.- Conducted engagement meetings and one-on-ones, solving problems and improving employee satisfaction.- Facilitated training sessions and created vital company documents.Role in Product Company     – - Acquired proficiency in SAP and Excel, learning to work efficiently with both products and partners.- Facilitated the update of processes to streamline workflow and enhance participant satisfaction.Role in IT Consulting Company     – - Renewed the Company Values document and improved the benefits system, fostering a better work environment.  ---Education and CertificationsProject Management Course  Institute/Platform Name    - Successfully completed the course, gaining skills in Scrum, Agile, Kanban, Gantt charts, Road maps, Timelines, Mock-ups, and technical documentation.Certificate available on LinkedIn.---Skills- Process Improvement- Organizational Skills- Time Management- Talent and Resource Management- Leadership- Jira, Google, Slack Administration- Engagement Meetings and One-on-Ones- Problem Solving- Training Facilitation- Document Creation- SAP- Excel- Project Management- Scrum Frameworks- Agile Methodology- Kanban Methodology---Objective  Seeking a challenging position in a company where my diverse skill set will be put to use and where I can gain invaluable experience for future contributions to the company's development.---, , , , and  with actual information before using the resume."
72," , Kyiv   | --- Professional SummaryDynamic and detail-oriented management professional with over 5 years of experience in leading retail departments specializing in luxury perfume, cosmetics, and interior design items. Demonstrated ability to drive profits through strategic team collaboration and maintaining high standards. Skilled in Agile methodologies, with a focus on Scrum and Kanban. Adept at conflict resolution and creating win-win scenarios, ensuring satisfaction for both customers and team members. Enthusiastic about continuing my career as a Project Manager in new markets. Skills- Agile Methodology (Scrum, Kanban)- Team Building and Coaching- Conflict Resolution- Strategic Planning- Market Adaptability (American and European Markets)- Attention to Detail ExperienceRetail Department Leader  , Kyiv  - Led the retail department specializing in luxury perfume, cosmetics, and interior design items.- Increased company profits through meticulous attention to detail and fostering a cohesive team environment.- Applied Agile methodologies, particularly Scrum and Kanban, to optimize workflows and enhance team performance.- Solved problems systematically and without panic, always aiming to achieve win-win outcomes.- Focused on creating a satisfying experience for both customers and team members through effective cooperation and strategic planning. Education Certifications Languages- English (Fluent)-  Additional Information- Currently based in Kyiv, with the ability to work seamlessly with American and European markets.- Passionate about understanding the human mind and leveraging this knowledge for team and project success.- Ready to start a new career path as a trainee/junior Project Manager, bringing a fresh perspective and a strong foundation in management principles.---"
